control_number,sequence_number,violator_id,status_description,gdate_happened,gdate_paid,original_fine,actual_fine,is_discounted,violation_type_description,vehicle_make,vehicle_model,district,city,region
100925051,8,1207680818,Issued to violator but un-paid,2026-01-30 00:47:27,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مازدا,مازدا CX-5,النسيم,الرياض,منطقة الرياض
102253799,4,2863087143,Issued to violator but un-paid,2026-01-29 21:48:07,,150,150,True,عدم ربط حزام,هيونداي,كريتا,الغدير,الرياض,منطقة الرياض
101571189,5,2567696273,Issued to violator but un-paid,2026-01-29 21:46:49,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,تويوتا,كروزر,السلي,الرياض,منطقة الرياض
103163980,2,1071399596,Issued to violator but un-paid,2026-01-29 21:39:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,هيونداي,توسان,الملز,الرياض,منطقة الرياض
101571189,9,1690504202,Issued to violator but un-paid,2026-01-29 21:17:42,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,فورد,رينجر,العقيق,الرياض,منطقة الرياض
102218740,2,1545590201,Issued to violator but un-paid,2026-01-29 20:57:39,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,بي إم دبليو,بي إم دبليو 3 Series,الملقا,الرياض,منطقة الرياض
102218740,5,2528310666,Issued to violator but un-paid,2026-01-29 19:54:28,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,كروزر,النسيم,الرياض,منطقة الرياض
102218740,3,1213190540,Issued to violator but un-paid,2026-01-29 18:12:57,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,ميتسوبيشي,لانسر,العليا,الرياض,منطقة الرياض
101571189,7,1703106169,Issued to violator but un-paid,2026-01-29 17:43:29,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,كيا,ريو,الغدير,الرياض,منطقة الرياض
103163980,8,1489699539,Issued to violator but un-paid,2026-01-29 16:47:45,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,جيب,شيروكي,العقيق,الرياض,منطقة الرياض
103163980,2,2859607491,Issued to violator but un-paid,2026-01-29 16:03:31,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,ميتسوبيشي,باجيرو,الملقا,الرياض,منطقة الرياض
102253799,2,2968661687,Issued to violator but un-paid,2026-01-29 16:03:30,,150,150,False,عدم ربط حزام,مازدا,مازدا 3,الغدير,الرياض,منطقة الرياض
102218740,7,2320984658,Issued to violator but un-paid,2026-01-29 15:40:58,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,بي إم دبليو,بي إم دبليو X5,العقيق,الرياض,منطقة الرياض
103163980,8,2225014207,Issued to violator but un-paid,2026-01-29 15:08:43,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,شيفروليه,كابريس,النسيم,الرياض,منطقة الرياض
102218740,4,2408125657,Issued to violator but un-paid,2026-01-29 15:02:27,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,ميتسوبيشي,لانسر,النرجس,الرياض,منطقة الرياض
101571189,3,1848299253,Issued to violator but un-paid,2026-01-29 11:59:05,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,تويوتا,كورولا,الياسمين,الرياض,منطقة الرياض
101571189,3,2661096769,Issued to violator but un-paid,2026-01-29 11:10:03,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,نيسان,باترول,النسيم,الرياض,منطقة الرياض
101571189,5,1810250448,Issued to violator but un-paid,2026-01-29 09:57:42,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,شيفروليه,تاهو,الياسمين,الرياض,منطقة الرياض
102218740,4,1849778786,Issued to violator but un-paid,2026-01-29 08:50:08,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,كامري,السلي,الرياض,منطقة الرياض
101571189,7,2639007631,Issued to violator but un-paid,2026-01-29 08:11:37,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,هوندا,هوندا سيفيك,العقيق,الرياض,منطقة الرياض
102253799,1,2978471371,Issued to violator but un-paid,2026-01-29 06:00:37,,150,150,False,عدم ربط حزام,جيب,رانجلر,النسيم,الرياض,منطقة الرياض
102253799,2,2946680583,Issued to violator but un-paid,2026-01-29 04:21:51,,150,150,False,عدم ربط حزام,هيونداي,سوناتا,الروضة,الرياض,منطقة الرياض
101571189,7,2001677681,Issued to violator but un-paid,2026-01-29 04:13:20,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,شيفروليه,تاهو,العليا,الرياض,منطقة الرياض
103163980,1,2834290471,Issued to violator but un-paid,2026-01-29 04:07:09,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,جي إم سي,يوكون,الغدير,الرياض,منطقة الرياض
100925051,6,1002165307,Issued to violator but un-paid,2026-01-29 03:50:38,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,ميتسوبيشي,باجيرو,النرجس,الرياض,منطقة الرياض
100925051,5,1301027252,Issued to violator but un-paid,2026-01-29 03:16:15,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,نيسان,صني,الروضة,الرياض,منطقة الرياض
103163980,10,1154778780,Issued to violator but un-paid,2026-01-29 03:06:15,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مازدا,مازدا CX-5,الملز,الرياض,منطقة الرياض
103163980,2,2154061542,Issued to violator but un-paid,2026-01-28 23:53:02,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,هيونداي,كريتا,الغدير,الرياض,منطقة الرياض
101571189,10,2509147821,Issued to violator but un-paid,2026-01-28 22:06:01,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرسيدس بنز,مرسيدس بنز E-Class,الملقا,الرياض,منطقة الرياض
102218740,5,2429607912,Issued to violator but un-paid,2026-01-28 21:53:45,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,شيفروليه,سبارك,النسيم,الرياض,منطقة الرياض
102218740,8,2093531815,Issued to violator but un-paid,2026-01-28 21:38:16,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,بي إم دبليو,بي إم دبليو X5,الروضة,الرياض,منطقة الرياض
100925051,10,2526843039,Issued to violator but un-paid,2026-01-28 21:24:56,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,هوندا,هوندا سيفيك,النسيم,الرياض,منطقة الرياض
102253799,3,1210441866,Issued to violator but un-paid,2026-01-28 20:49:09,,150,150,False,عدم ربط حزام,تويوتا,كامري,الملقا,الرياض,منطقة الرياض
